H,e,a,q,i,om,w,ma,ad,n,per,moid,albedo
16.98,0.2102,3.18,2.511,28.76,85.23,228.06,356.96,3.85,0.1738,2070,1.57,0.135618324
19.1,0.2208,2.233,1.74,4.87,226.79,158.53,306.94,2.73,0.2953,1220,0.746,0.149499668
16.72,0.1563,2.554,2.155,1.81,287.02,47.64,272.62,2.95,0.2414,1490,1.15,0.15903542
17.7,0.0798,3.061,2.817,11.58,259.35,79.79,169.73,3.31,0.184,1960,1.84,0.127020309
19.2,0.1506,2.352,1.997,3.13,58.25,137.2,252.3,2.71,0.2733,1320,0.998,0.151633811
16.5,0.1154,2.968,2.625,11.18,177.83,179.72,251.43,3.31,0.1928,1870,1.62,0.159793554
17.9,0.0983,2.928,2.64,1.55,286.12,85.67,296.88,3.22,0.1968,1830,1.64,0.142540622
18.02,0.1607,2.714,2.278,3.64,144.16,295.18,240.57,3.15,0.2204,1630,1.3,0.148669844
16.01,0.2288,2.625,2.024,18.02,73.43,293.32,264.1,3.23,0.2317,1550,1.1,0.157357489
18.65,0.0798,2.37,2.18,5.25,152.2,308.3,164.37,2.56,0.2702,1330,1.2,0.127898808
13.85,0.0331,2.834,2.74,2.34,162.5,280.76,144.94,2.93,0.2066,1740,1.76,0.145375183
17.4,0.2422,2.564,1.943,3.73,316.07,56.83,324.2,3.19,0.24,1500,0.947,0.143089882
16.05,0.1395,2.772,2.385,3.33,60.65,192.69,19.91,3.16,0.2136,1690,1.37,0.146066511
17.9,0.3511,3.169,2.057,25.07,145.65,280.11,51.3,4.28,0.1747,2060,1.23,0.143615257
17.54,0.2194,2.838,2.215,15.81,158.61,209.22,319.48,3.46,0.2062,1750,1.23,0.142719856
18.5,0.3224,2.601,1.762,7.84,82.51,326.92,174.85,3.44,0.235,1530,0.779,0.140721522
17.4,0.0891,3.022,2.753,10.08,170.9,162.82,170.94,3.29,0.1876,1920,1.75,0.126513954
18.6,0.2816,2.535,1.821,13.75,61.08,245.5,190.88,3.25,0.2441,1470,0.856,0.130413113
18.41,0.071,2.583,2.4,10.49,78.62,298.23,272.18,2.77,0.2374,1520,1.42,0.166056074
18.9,0.1832,2.413,1.971,0.67,243.62,172.7,163.93,2.86,0.2629,1370,0.983,0.158712347
18.5,0.1447,2.667,2.281,5.63,212.21,173.74,2.38,3.05,0.2263,1590,1.28,0.147927817
18.07,0.199,2.684,2.15,10.18,211.18,108.34,84.99,3.22,0.2241,1610,1.16,0.118768258
17.1,0.0342,2.754,2.659,5.5,99.3,356.96,27.07,2.85,0.2157,1670,1.68,0.136353124
17.07,0.0352,3.227,3.114,11.33,300.08,271.87,346.13,3.34,0.17,2120,2.13,0.132587577
16.76,0.1232,2.4,2.104,6.02,325.64,355.1,8.2,2.7,0.2651,1360,1.09,0.154205468
16.9,0.0369,2.674,2.576,4.45,281.25,97.17,254.01,2.77,0.2254,1600,1.58,0.150730544
16.49,0.1414,2.551,2.19,13.84,235.49,95.66,268.32,2.91,0.2419,1490,1.23,0.133095208
17.4,0.058,2.862,2.696,5.81,198.28,256.88,200.69,3.03,0.2035,1770,1.72,0.123991281
18.36,0.137,2.174,1.876,5.21,157.55,83.52,182.45,2.47,0.3074,1170,0.874,0.136744054
17.2,0.0158,3.022,2.975,13.5,27.55,1.88,355.43,3.07,0.1876,1920,1.98,0.116416357
15.7,0.2157,3.104,2.434,13.27,38.94,180.98,232.65,3.77,0.1802,2000,1.43,0.12085736
15.7,0.1024,3.556,3.192,11.1,96.77,296.43,129.77,3.92,0.147,2450,2.22,0.141290752
15.84,0.0696,3.043,2.831,10.85,205.24,142.31,141.19,3.25,0.1857,1940,1.84,0.136565161
18.04,0.1085,3.021,2.694,9.6,341.7,28.83,8.26,3.35,0.1877,1920,1.7,0.136983776
19.05,0.4172,2.562,1.493,28.37,49.73,257.19,18.87,3.63,0.2403,1500,0.695,0.139909688
19.1,0.1849,2.341,1.908,9.57,259.41,181.56,198.5,2.77,0.2751,1310,0.924,0.146504818
17.5,0.2063,2.326,1.846,2.48,346.83,60.74,144.25,2.81,0.2779,1300,0.857,0.148569937
17.22,0.2151,2.624,2.06,12.83,197.8,285.9,185.97,3.19,0.2318,1550,1.12,0.14493433
15.7,0.0363,2.736,2.636,4.5,343.01,79.62,83.97,2.83,0.2178,1650,1.65,0.132751184
17.62,0.1327,2.647,2.296,3.92,47.4,31.18,270.77,3,0.2288,1570,1.31,0.127129767
15.85,0.2545,3.022,2.252,4.47,221.02,160.47,281.03,3.79,0.1877,1920,1.26,0.15190801
17.81,0.1053,2.31,2.067,5.54,144.5,335.55,308.22,2.55,0.2807,1280,1.08,0.124454612
17.6,0.0958,3.154,2.852,8.23,314.05,14.19,82.02,3.46,0.176,2050,1.84,0.127937508
16.17,0.0224,3.079,3.01,8.05,249.08,160.64,0.91,3.15,0.1825,1970,2.02,0.126927495
18.8,0.1814,2.424,1.985,1.99,354.71,275.88,261.2,2.86,0.2611,1380,0.971,0.13397522
19.4,0.2336,2.324,1.781,2.79,334.09,16.31,156.48,2.87,0.2782,1290,0.776,0.152706732
17.49,0.2617,2.38,1.757,7.61,57.86,339.75,215.64,3,0.2684,1340,0.768,0.135581024
15.7,0.0923,2.986,2.71,0.81,123.4,115.89,163.92,3.26,0.191,1880,1.7,0.130039958
15.46,0.0497,3.062,2.91,10.21,152.77,39.49,279.51,3.21,0.1839,1960,1.92,0.127832805
17.9,0.194,2.851,2.298,14.48,183,158.18,204.41,3.4,0.2048,1760,1.3,0.137228168
19.1,0.1283,1.904,1.66,20.69,5.57,337.73,106.67,2.15,0.3751,960,0.666,0.126887359
19.25,0.2058,2.419,1.921,0.76,298.91,45.7,338.33,2.92,0.262,1370,0.915,0.149367071
16.91,0.0457,2.952,2.818,8.25,45.9,320.89,227.03,3.09,0.1943,1850,1.82,0.134013833
16.8,0.1138,2.976,2.637,5.59,112.36,246.33,206.06,3.31,0.192,1880,1.64,0.120827977
18.24,0.162,2.629,2.203,6.08,168.2,285.57,151.19,3.05,0.2312,1560,1.23,0.145717797
17.2,0.1269,2.723,2.377,7.76,107.65,114.76,182.58,3.07,0.2194,1640,1.38,0.154711578
16.43,0.1805,2.312,1.894,4.64,220.09,165.06,159.62,2.73,0.2804,1280,0.899,0.127995296
19.2,0.1645,2.171,1.814,7.78,334.24,2.48,317.03,2.53,0.3081,1170,0.805,0.15660548
16.98,0.1254,3.088,2.701,9.62,57.22,244.32,83.48,3.47,0.1817,1980,1.7,0.128313659
18.3,0.1155,2.345,2.074,4.35,240.58,358.95,304.6,2.62,0.2745,1310,1.06,0.139931814
18.77,0.1798,2.356,1.932,1.79,319.73,151.31,143.96,2.78,0.2725,1320,0.949,0.139119016
17.3,0.304,2.705,1.883,3.02,138.12,232.23,68.6,3.53,0.2216,1620,0.885,0.152778367
16.6,0.132,2.35,2.04,6.95,164.23,208.64,228.86,2.66,0.2736,1320,1.04,0.130667979
18,0.1284,2.178,1.898,8.71,265.51,41.6,235.21,2.46,0.3066,1170,0.893,0.132231215
