pha,H,G,diameter,albedo,rot_per,BV,UB,spec_B,spec_T,e,a,q,i,om,w,ma,ad,n,per,per.y,moid,class,data_arc,condition_code
0,12.33,,,,4.8503,,,7,153,0.1725,2.653,2.196,11.51,190.78,105.22,2.28,3.11,0.2281,1580.0,4.32,1.22,8,41016.0,0
0,11.45,,,,3.3962,0.854,0.386,32,2,0.4102,2.613,1.541,15.29,242.54,91.39,111.12,3.68,0.2334,1540.0,4.22,0.627,9,43439.0,0
0,15.51,,,,5.801,,,4,153,0.547,2.638,1.195,11.58,183.86,156.23,278.2,4.08,0.2301,1560.0,4.28,0.203,0,40008.0,0
0,13.94,,,,22.6308,,,7,153,0.2095,2.279,1.802,8.0,4.04,317.14,244.2,2.76,0.2864,1260.0,3.44,0.8,8,38241.0,0
0,11.38,,,,5.465,0.819,0.41,7,2,0.0968,2.907,2.625,2.6,145.44,224.46,105.23,3.19,0.1989,1810.0,4.96,1.63,8,38354.0,0
0,12.88,,,,3.0126,,,4,153,0.2771,2.3,1.663,4.06,290.29,59.62,185.02,2.94,0.2825,1270.0,3.49,0.662,9,36160.0,0
0,13.98,,,,,,,7,153,0.4526,2.629,1.439,15.71,229.29,186.53,21.89,3.82,0.2312,1560.0,4.26,0.451,9,35786.0,0
0,12.74,,,,5.17247,0.9,0.515,983,2,0.3504,2.393,1.554,5.49,132.52,353.23,154.43,3.23,0.2663,1350.0,3.7,0.57,9,35680.0,0
0,12.18,,,,7.7594,,,4,153,0.2971,2.361,1.659,8.36,330.32,353.62,113.61,3.06,0.2717,1320.0,3.63,0.649,9,34780.0,0
0,10.65,,,,4.00668,0.639,0.23,7,463,0.1021,2.991,2.686,3.89,132.43,235.94,273.96,3.3,0.1905,1890.0,5.17,1.69,8,34561.0,0
0,13.01,,,,4.6584,,,4,153,0.2861,2.228,1.591,3.23,100.67,248.12,279.04,2.87,0.2964,1210.0,3.33,0.588,9,33560.0,0
0,14.25,,,,2.75445,,,4,153,0.4701,2.677,1.418,15.32,5.77,332.89,5.31,3.93,0.2251,1600.0,4.38,0.43,9,33572.0,0
0,12.62,,,,27.446,0.92,0.497,4,2,0.2554,1.948,1.45,13.09,213.3,206.67,331.01,2.44,0.3626,993.0,2.72,0.472,9,33567.0,0
0,14.4,,,,16.0,,,11,153,0.3355,2.251,1.496,2.73,259.5,84.64,274.98,3.01,0.2919,1230.0,3.38,0.492,9,32773.0,0
0,12.03,,,,7.885,,,4,153,0.2936,2.264,1.599,1.88,7.54,313.75,213.33,2.93,0.2893,1240.0,3.41,0.588,9,32884.0,0
0,12.71,,,,3.1987,,,7,153,0.154,2.353,1.991,5.15,148.4,91.27,273.59,2.72,0.273,1320.0,3.61,0.988,8,35250.0,0
0,13.19,,,,1265.0,0.75,0.33,7,259,0.1544,1.91,1.615,25.0,12.92,43.8,47.11,2.21,0.3733,964.0,2.64,0.662,9,32879.0,0
0,12.86,,,,2.8728,,,7,153,0.1532,2.367,2.004,5.59,307.35,78.87,69.15,2.73,0.2707,1330.0,3.64,1.02,8,32205.0,0
0,11.57,,,,7.83,0.905,0.445,7,2,0.3573,2.391,1.536,21.06,357.18,88.87,143.02,3.24,0.2666,1350.0,3.7,0.712,9,32671.0,0
0,13.21,,,,5.843,,,983,153,0.3158,2.412,1.65,23.95,238.19,148.71,205.75,3.17,0.2631,1370.0,3.75,0.689,9,32003.0,0
0,13.7,,,,1.80021,,,7,153,0.1702,2.251,1.868,4.8,306.01,3.97,237.64,2.63,0.2919,1230.0,3.38,0.854,8,31320.0,0
0,13.3,,,,36.699,,,32,153,0.2778,2.251,1.625,5.3,302.47,61.09,210.31,2.88,0.2919,1230.0,3.38,0.632,9,31275.0,0
0,11.65,,,,2.768,,,7,153,0.0765,2.439,2.252,2.68,178.76,113.37,149.53,2.63,0.2588,1390.0,3.81,1.24,8,31176.0,0
0,12.78,,,,2.773,,,7,153,0.2711,2.196,1.601,9.94,308.91,23.17,219.98,2.79,0.3028,1190.0,3.25,0.595,9,30399.0,0
0,12.58,,,,4.184,0.62,0.245,1,1473,0.4885,2.736,1.4,26.68,323.39,84.01,8.56,4.07,0.2177,1650.0,4.53,0.644,9,31479.0,0
0,12.88,,,,70.77,,,7,153,0.1683,2.35,1.954,4.51,200.11,201.31,327.35,2.75,0.2737,1320.0,3.6,0.963,8,38017.0,0
0,12.06,,,,9.196,0.645,0.249,0,1507,0.4183,2.768,1.61,28.73,13.85,93.52,335.47,3.93,0.214,1680.0,4.61,0.868,9,31624.0,0
0,13.32,,,,5.0,,,4,153,0.3427,2.289,1.505,7.11,355.43,354.83,115.91,3.07,0.2845,1270.0,3.46,0.5,9,42004.0,0
0,12.99,,,,24.0,,,7,153,0.0911,2.184,1.985,3.03,261.67,327.85,250.04,2.38,0.3054,1180.0,3.23,0.976,8,38555.0,0
0,12.69,,,,2.98109,,,7,2,0.1019,1.854,1.665,22.9,133.01,313.01,227.48,2.04,0.3904,922.0,2.52,0.717,9,24351.0,0
0,13.88,,,,375.0,0.885,0.5,7,2,0.1727,1.926,1.594,19.09,273.74,109.04,215.71,2.26,0.3687,977.0,2.67,0.694,9,25891.0,0
0,11.25,,,,5.4699,,,7,153,0.0308,3.006,2.913,10.82,113.69,115.86,53.64,3.1,0.1891,1900.0,5.21,1.92,8,29083.0,0
0,11.85,,,,4.208,,,7,153,0.2269,3.19,2.466,2.46,76.84,50.61,200.24,3.91,0.173,2080.0,5.7,1.48,8,25412.0,0
0,12.66,,,,3.2693,,,4,153,0.0691,2.236,2.081,3.77,283.28,246.3,53.99,2.39,0.2948,1220.0,3.34,1.09,8,32980.0,0
0,13.34,,,,,,,7,153,0.2008,2.379,1.901,2.1,297.41,349.68,182.43,2.86,0.2687,1340.0,3.67,0.886,8,42085.0,0
0,11.79,,,,4.744,,,7,153,0.1156,2.678,2.368,4.04,288.51,144.21,69.28,2.99,0.225,1600.0,4.38,1.38,8,32031.0,0
0,15.13,,,,45.63,,,7,153,0.0483,1.964,1.869,23.11,304.47,243.58,258.22,2.06,0.3581,1010.0,2.75,0.923,7,18820.0,0
0,12.17,,,,80.1898,,,7,153,0.157,2.627,2.215,14.88,82.25,217.72,354.44,3.04,0.2315,1560.0,4.26,1.22,8,29735.0,0
0,14.76,,,,,,,7,153,0.3846,3.307,2.035,19.09,351.87,20.32,67.57,4.58,0.1639,2200.0,6.01,1.04,10,17567.0,0
0,12.89,,,,,,,4,153,0.1707,2.532,2.1,5.83,23.16,179.5,190.83,2.96,0.2446,1470.0,4.03,1.1,8,31618.0,0
0,13.52,,,,,,,7,153,0.0931,2.247,2.038,2.58,169.77,61.64,335.85,2.46,0.2925,1230.0,3.37,1.03,8,26115.0,0
0,12.98,,,,10.774,,,7,153,0.1728,2.234,1.848,4.75,169.21,214.0,235.75,2.62,0.2952,1220.0,3.34,0.853,8,29855.0,0
0,12.83,,,,2.63,,,32,153,0.1517,2.753,2.335,5.32,17.09,56.19,96.94,3.17,0.2157,1670.0,4.57,1.36,8,22177.0,0
0,12.88,,,,4.407,,,7,153,0.3119,2.309,1.589,21.5,340.41,244.11,190.64,3.03,0.2809,1280.0,3.51,0.691,9,17416.0,0
0,15.97,,,,129.47,,,7,153,0.5314,2.643,1.239,11.02,200.69,192.42,181.89,4.05,0.2294,1570.0,4.3,0.247,0,21001.0,0
0,12.0,,,,,,,7,153,0.0303,2.851,2.764,3.07,72.23,210.33,70.47,2.94,0.2048,1760.0,4.81,1.75,8,25887.0,0
0,13.29,,,,4.05616,,,7,153,0.1843,2.41,1.966,6.9,78.34,280.23,67.73,2.85,0.2634,1370.0,3.74,0.977,8,23402.0,0
1,18.02,,,,,,,7,153,0.5032,1.599,0.795,23.07,191.13,290.99,75.15,2.4,0.4872,739.0,2.02,0.00944,1,15749.0,1
0,12.32,,,,,,,7,153,0.1417,2.894,2.484,3.33,84.39,333.88,239.73,3.3,0.2002,1800.0,4.92,1.5,8,26193.0,0
0,14.46,,,,,,,7,153,0.1948,2.593,2.088,3.63,223.01,181.3,18.2,3.1,0.236,1530.0,4.18,1.1,8,16801.0,0
0,17.11,,,,,,,7,153,0.5125,2.291,1.117,8.74,169.93,217.91,71.73,3.47,0.2842,1270.0,3.47,0.145,0,18020.0,0
0,12.98,,,,7.445,,,7,153,0.138,2.591,2.234,13.79,245.81,82.16,337.39,2.95,0.2363,1520.0,4.17,1.27,8,16476.0,0
0,12.45,,,,4.43,,,7,153,0.1491,2.343,1.993,5.04,338.11,24.61,130.38,2.69,0.2749,1310.0,3.59,0.992,8,22700.0,0
0,13.29,,,,3.425,,,4,153,0.0789,2.203,2.029,4.98,207.69,238.77,315.4,2.38,0.3014,1190.0,3.27,1.05,8,21609.0,0
0,12.64,,,,9.18,,,7,153,0.0509,2.326,2.207,5.29,145.86,67.0,295.33,2.44,0.2779,1300.0,3.55,1.21,8,38524.0,0
0,14.1,,,,52.77,,,7,153,0.2075,2.22,1.759,5.33,157.79,182.92,255.6,2.68,0.298,1210.0,3.31,0.752,8,16358.0,0
0,11.33,,,,6.414,,,7,153,0.1341,3.131,2.711,0.59,23.63,131.97,52.63,3.55,0.1779,2020.0,5.54,1.72,8,30437.0,0
0,13.31,,,,2.6,0.83,,4,153,0.1633,2.524,2.112,4.17,187.09,204.72,89.38,2.94,0.2458,1460.0,4.01,1.12,8,26125.0,0
0,14.5,,,,4.6473,,,7,153,0.6541,2.409,0.833,24.48,169.28,146.06,62.51,3.98,0.2636,1370.0,3.74,0.0941,1,16670.0,0
0,13.97,,,,,,,7,153,0.1272,2.241,1.956,1.08,308.14,111.24,136.16,2.53,0.2938,1230.0,3.35,0.968,8,31888.0,0
0,13.46,,,,4.594,,,7,153,0.1609,2.243,1.882,4.08,153.19,190.58,241.96,2.6,0.2935,1230.0,3.36,0.875,8,38625.0,0
0,14.78,,,,,,,7,153,0.2051,2.203,1.751,3.97,162.53,183.82,280.76,2.65,0.3015,1190.0,3.27,0.745,8,22171.0,0
